Device Time, Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°F),Barometric pressure (from vehicle)(psi),Engine Coolant Temperature(°F),Engine RPM(rpm),Fuel flow rate/minute(gal/min),Fuel Level (From Engine ECU)(%),Intake Air Temperature(°F),Speed (OBD)(mph)
24-May-2018 06:36:13.450,-0.01269098,0.10836142,0.88989621,-,14.06866074,134.6000061,637.5,0.00471788,85.09803772,75.19999695,0
24-May-2018 06:36:14.450,-0.01952458,0.11226633,0.89477736,-,14.06866074,134.6000061,637.5,0.00488001,85.09803772,75.19999695,0
24-May-2018 06:36:15.450,-0.02245327,0.11324256,0.8830626,-,14.06866074,134.6000061,637.5,0.00477686,85.09803772,75.19999695,0
24-May-2018 06:36:16.450,-0.02635818,0.12593354,0.86841917,-,14.06866074,134.6000061,637.5,0.00477686,85.09803772,75.19999695,0
24-May-2018 06:36:17.450,-0.01171475,0.10250404,0.88013393,-,14.06866074,134.6000061,650,0.00466093,85.09803772,75.19999695,0
24-May-2018 06:36:18.450,-0.01366721,0.11031388,0.88696754,-,14.06866074,134.6000061,650,0.00466093,85.09803772,75.19999695,0
24-May-2018 06:36:19.450,-0.01952458,0.11909994,0.87622905,-,14.06866074,134.6000061,637.5,0.00473603,85.09803772,75.19999695,0
24-May-2018 06:36:20.452,-0.02440573,0.1181237,0.8713479,-,14.06866074,134.6000061,637.5,0.00487579,85.09803772,75.19999695,0
24-May-2018 06:36:21.450,-0.01952458,0.1112901,0.87720525,-,14.06866074,134.6000061,637.5,0.00487579,85.09803772,75.19999695,0
24-May-2018 06:36:22.452,-0.00878606,0.10543273,0.8820864,-,14.06866074,134.6000061,637.5,0.00473009,85.09803772,77,0
24-May-2018 06:36:23.450,-0.01464343,0.09957536,0.88013393,-,14.06866074,134.6000061,637.5,0.00471788,85.09803772,77,0
24-May-2018 06:36:24.450,-0.02635818,0.11324256,0.86256182,-,14.06866074,134.6000061,637.5,0.00471788,85.09803772,77,0
24-May-2018 06:36:25.450,-0.02440573,0.1073852,0.88013393,-,14.06866074,134.6000061,650,0.00474447,85.09803772,77,0
24-May-2018 06:36:26.450,-0.00976229,0.10250404,0.87818146,-,14.06866074,134.6000061,637.5,0.00483464,85.09803772,77,0
24-May-2018 06:36:27.450,-0.01659589,0.11031388,0.89380115,-,14.06866074,134.6000061,637.5,0.00483464,85.09803772,77,0
24-May-2018 06:36:28.451,-0.02050081,0.11617125,0.88696754,-,14.06866074,134.6000061,650,0.00489953,85.09803772,77,0
